Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Older	1	CTEstage	H2_alpha_dosage	0.264	173	0.506	0.24	0.0367058401276856	0.293646721021485
Cases	Younger	1	CTEstage	H2_alpha_dosage	0.283	139	-0.263	0.214	0.221615615366963	0.444573901719914
All	Older	2	CTEstage	H2_alpha_dosage	0.24	192	0.628	0.244	0.0109403112660882	0.175044980257411
All	Younger	2	CTEstage	H2_alpha_dosage	0.276	200	-0.069	0.183	0.706706197084719	0.892681512107014
Cases	Older	2	CTEstage	H2_alpha_dosage	0.262	156	0.466	0.262	0.0776160843936835	0.348926337392823
Cases	Younger	2	CTEstage	H2_alpha_dosage	0.286	127	-0.246	0.226	0.27915400052833	0.579160465448596
All	Older	3	CTEstage	H2_alpha_dosage*footyrs	0.24	192	-0.073	0.049	0.140274191535286	0.447036462086324
All	Younger	3	CTEstage	H2_alpha_dosage*footyrs	0.276	200	0.043	0.041	0.301279731825856	0.53938315739586
Cases	Older	3	CTEstage	H2_alpha_dosage*footyrs	0.262	156	-0.015	0.055	0.778949261395035	0.830879212154704
Cases	Younger	3	CTEstage	H2_alpha_dosage*footyrs	0.286	127	0.05	0.05	0.32159732740454	0.53938315739586
All	NA	4	CTEstage	H2_alpha_dosage*stratum	0.241	536	0.781	0.244	0.00143099521621903	0.0343438851892567
Cases	NA	4	CTEstage	H2_alpha_dosage*stratum	0.245	371	0.619	0.29	0.0332093750780498	0.199256250468299
All	Older	1	subnigra	H2_alpha_dosage	0.241	226	0.159	0.191	0.406520283390204	0.609780425085306
All	Younger	1	subnigra	H2_alpha_dosage	0.285	232	-0.241	0.182	0.186847030486222	0.42707892682565
Cases	Older	1	subnigra	H2_alpha_dosage	0.264	173	0.066	0.218	0.763531553077187	0.852314291807093
Cases	Younger	1	subnigra	H2_alpha_dosage	0.281	140	-0.306	0.224	0.175000107851119	0.420000258842686
All	Older	2	subnigra	H2_alpha_dosage	0.24	192	0.23	0.216	0.289190082293966	0.579160465448596
All	Younger	2	subnigra	H2_alpha_dosage	0.276	200	-0.096	0.197	0.625038001244221	0.833384001658961
Cases	Older	2	subnigra	H2_alpha_dosage	0.262	156	0.056	0.234	0.812722238894797	0.916396488604618
Cases	Younger	2	subnigra	H2_alpha_dosage	0.286	127	-0.297	0.237	0.213440805119552	0.569175480318805
All	Older	3	subnigra	H2_alpha_dosage*footyrs	0.24	192	-0.111	0.04	0.00661670335105047	0.137089108130198
All	Younger	3	subnigra	H2_alpha_dosage*footyrs	0.276	200	0.031	0.044	0.480690730751865	0.699186517457258
Cases	Older	3	subnigra	H2_alpha_dosage*footyrs	0.262	156	-0.088	0.046	0.0591855927667466	0.258264404800349
Cases	Younger	3	subnigra	H2_alpha_dosage*footyrs	0.286	127	0.072	0.053	0.176212620023909	0.447036462086324
All	NA	4	subnigra	H2_alpha_dosage*stratum	0.24	537	0.32	0.236	0.176324682073328	0.302270883554277
Cases	NA	4	subnigra	H2_alpha_dosage*stratum	0.244	372	0.194	0.28	0.488362738600613	0.509595901148466
