Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_DQA1.02	0.129	458	0.189	0.197	0.336568994545086	0.998825943195549
All	1	CA2	HLA_DQA1.02.01	0.129	458	0.189	0.197	0.336568994545086	0.998825943195549
All	1	CA2	HLA_DQA1.03	0.175	458	-0.311	0.171	0.0696039847358301	0.998825943195549
All	1	CA2	HLA_DQA1.03.01	0.175	458	-0.311	0.171	0.0696039847358301	0.998825943195549
All	1	CA2	HLA_DQA1.04	0.033	458	-0.135	0.317	0.671619767176432	0.998825943195549
All	1	CA2	HLA_DQA1.04.01	0.033	458	-0.135	0.317	0.671619767176432	0.998825943195549
All	1	CA2	HLA_DQA1.05	0.251	458	0.246	0.156	0.117439181239806	0.998825943195549
All	1	CA2	HLA_DQA1.05.01	0.251	458	0.246	0.156	0.117439181239806	0.998825943195549
All	1	CA2	HLA_DQB1.02	0.232	458	0.162	0.165	0.328019545835309	0.998825943195549
All	1	CA2	HLA_DQB1.02.01	0.232	458	0.163	0.165	0.324572990592886	0.998825943195549
All	1	CA2	HLA_DQB1.03	0.319	458	0.007	0.137	0.956684200732255	0.998825943195549
All	1	CA2	HLA_DQB1.03.01	0.163	458	0.212	0.168	0.208489193462928	0.998825943195549
All	1	CA2	HLA_DQB1.03.02	0.102	458	-0.232	0.211	0.270921026557236	0.998825943195549
All	1	CA2	HLA_DQB1.03.03	0.051	458	-0.067	0.287	0.814788298481807	0.998825943195549
All	1	CA2	HLA_DQB1.04	0.035	458	-0.113	0.309	0.715680381767945	0.998825943195549
All	1	CA2	HLA_DQB1.04.02	0.035	458	-0.112	0.31	0.716754563277422	0.998825943195549
All	1	CA2	HLA_DQB1.05	0.157	458	-0.136	0.183	0.457977332602983	0.998825943195549
All	1	CA2	HLA_DQB1.05.01	0.096	458	-0.168	0.223	0.453074460915423	0.998825943195549
All	1	CA2	HLA_DQB1.05.02	0.026	458	-0.043	0.452	0.924791892924978	0.998825943195549
All	1	CA2	HLA_DQB1.05.03	0.036	458	-0.049	0.366	0.892619533233424	0.998825943195549
All	1	CA2	HLA_DQB1.06	0.257	458	-0.027	0.153	0.862009548751934	0.998825943195549
All	1	CA2	HLA_DQB1.06.01	0.01	458	-0.41	0.611	0.501898827668791	0.998825943195549
All	1	CA2	HLA_DQB1.06.02	0.134	458	-0.041	0.209	0.846521724204237	0.998825943195549
All	1	CA2	HLA_DQB1.06.03	0.069	458	-0.008	0.246	0.973469158482011	0.998825943195549
All	1	CA2	HLA_DQB1.06.04	0.029	458	-0.01	0.403	0.979731227155941	0.998825943195549
All	1	CA2	HLA_DQB1.06.08	0	458	118.502	3.207	0.986260193680181	0.998825943195549
All	1	CA2	HLA_DQB1.06.09	0.014	458	0.361	0.599	0.547895198853572	0.998825943195549
All	1	CA2	HLA_DRB1.01	0.093	458	-0.004	0.223	0.985712647545431	0.998825943195549
All	1	CA2	HLA_DRB1.01.01	0.075	458	-0.228	0.243	0.3491649569355	0.998825943195549
All	1	CA2	HLA_DRB1.01.02	0.005	458	1.738	0.961	0.0712533303491347	0.998825943195549
